"FullName","Name","Length","CreationTime","LastWriteTime","LastAccessTime","Attributes","Owner"
"D:\DoganHub\DBA\.venv\etc\jupyter","jupyter",,"7/5/2025 6:24:02 PM","7/5/2025 6:24:02 PM","7/9/2025 11:55:30 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\etc\jupyter\nbconfig","nbconfig",,"7/5/2025 6:24:02 PM","7/5/2025 6:24:02 PM","7/9/2025 11:55:30 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\etc\jupyter\nbconfig\notebook.d","notebook.d",,"7/5/2025 6:24:02 PM","7/5/2025 6:24:02 PM","7/9/2025 11:55:30 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\etc\jupyter\nbconfig\notebook.d\pydeck.json","pydeck.json","68","7/5/2025 6:24:02 PM","7/5/2025 6:24:02 PM","7/9/2025 11:17:38 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages","site-packages",,"7/5/2025 6:22:24 PM","7/5/2025 6:48:38 PM","7/9/2025 11:55:30 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\__pycache__","__pycache__",,"7/5/2025 6:23:17 PM","7/5/2025 6:23:20 PM","7/9/2025 11:55:44 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\_distutils_hack","_distutils_hack",,"7/5/2025 6:22:53 PM","7/5/2025 6:22:53 PM","7/9/2025 11:55:44 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\altair","altair",,"7/5/2025 6:24:50 PM","7/5/2025 6:24:51 PM","7/9/2025 11:55:30 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\altair-5.5.0.dist-info","altair-5.5.0.dist-info",,"7/5/2025 6:24:51 PM","7/5/2025 6:24:53 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\attr","attr",,"7/5/2025 6:23:57 PM","7/5/2025 6:23:57 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\attrs","attrs",,"7/5/2025 6:23:57 PM","7/5/2025 6:23:57 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\attrs-25.3.0.dist-info","attrs-25.3.0.dist-info",,"7/5/2025 6:23:57 PM","7/5/2025 6:23:57 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\blinker","blinker",,"7/5/2025 6:23:57 PM","7/5/2025 6:23:57 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\blinker-1.9.0.dist-info","blinker-1.9.0.dist-info",,"7/5/2025 6:23:57 PM","7/5/2025 6:23:57 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\cachetools","cachetools",,"7/5/2025 6:23:57 PM","7/5/2025 6:23:57 PM","7/9/2025 11:55:31 PM","Directory","BUILTIN\Administrators"
